Ex,Pay,Dec,Div
2016-03-28,2016-05-11,2016-02-11,0.26
2017-03-28,2017-05-10,2017-02-09,0.3
2018-03-28,2018-05-09,2018-02-08,0.34
2019-03-27,2019-05-09,2019-02-12,0.37
2020-04-14,2020-05-06,2020-02-06,0.41
