Ex,Pay,Dec,Div
2016-04-27,2016-05-19,2016-04-14,0.369427
2017-04-12,2017-05-05,2017-03-27,0.360995
2018-04-12,2018-05-03,2018-03-19,0.463162
2019-04-11,2019-05-02,2019-03-26,0.465588
2020-04-16,2020-05-07,2020-03-12,0.50301
