Ex,Pay,Dec,Div
2018-01-31,2018-02-15,2018-01-17,0.179755
2018-04-30,2018-05-15,2018-04-17,0.2675
2018-07-31,2018-08-15,2018-07-18,0.2725
2018-10-31,2018-11-15,2018-10-12,0.2915
2019-01-30,2019-02-14,2019-01-17,0.3015
2019-04-30,2019-05-15,2019-04-17,0.3126
2019-07-30,2019-08-14,2019-07-17,0.3237
2019-10-30,2019-11-14,2019-10-17,0.3355
2020-01-29,2020-02-13,2020-01-16,0.3475
2020-04-29,2020-05-14,2020-04-15,0.3475
2020-07-29,2020-08-13,2020-07-15,0.3475
